CBD,LAT,LON,THK,SRF
168,-79.448395,168.256195,9999,9999
169,-79.452499,168.324799,9999,9999
170,-79.456604,168.398804,9999,9999
171,-79.462006,168.471497,9999,9999
172,-79.467499,168.545502,9999,9999
173,-79.471603,168.612701,9999,9999
174,-79.475693,168.679794,9999,9999
175,-79.479797,168.752502,9999,9999
176,-79.483902,168.825104,9999,9999
177,-79.489304,168.895096,9999,9999
178,-79.492096,168.959503,9999,9999
179,-79.497498,169.037598,9999,9999
180,-79.503006,169.111694,9999,9999
181,-79.507095,169.181595,9999,9999
182,-79.5112,169.252899,9999,9999
183,-79.516602,169.321396,9999,9999
184,-79.523499,169.391296,9999,9999
185,-79.5289,169.458496,9999,9999
186,-79.533005,169.532501,9999,9999
187,-79.538498,169.606598,9999,9999
188,-79.544006,169.675095,9999,9999
189,-79.548004,169.754593,9999,9999
190,-79.5522,169.823196,9999,9999
191,-79.556305,169.893097,9999,9999
192,-79.563095,169.961594,9999,9999
193,-79.5672,170.035599,9999,9999
194,-79.571304,170.105499,9999,9999
195,-79.578094,170.178207,9999,9999
196,-79.583603,170.252197,9999,9999
197,-79.589096,170.323502,9999,9999
198,-79.593201,170.405701,9999,9999
199,-79.597198,170.481201,9999,9999
200,-79.602707,170.555206,9999,9999
201,-79.606796,170.6306,9999,9999
202,-79.612305,170.704605,9999,9999
203,-79.616394,170.784103,9999,9999
204,-79.620499,170.865005,9999,9999
205,-79.624603,170.941803,9999,9999
206,-79.628601,171.017197,9999,9999
207,-79.635498,171.102203,9999,9999
208,-79.636795,171.178894,9999,9999
209,-79.6409,171.254303,9999,9999
210,-79.642303,171.336594,9999,9999
211,-79.647797,171.410599,9999,9999
212,-79.651901,171.487396,9999,9999
213,-79.654602,171.564102,9999,9999
214,-79.658707,171.645004,9999,9999
215,-79.6642,171.714905,9999,9999
216,-79.671005,171.799896,9999,9999
217,-79.675095,171.869797,9999,9999
218,-79.679199,171.941101,9999,9999
219,-79.683304,172.027405,9999,9999
220,-79.687302,172.097305,9999,9999
221,-79.692795,172.175507,9999,9999
222,-79.696899,172.245407,9999,9999
223,-79.701004,172.322098,9999,9999
224,-79.705093,172.391998,9999,9999
225,-79.709198,172.478394,9999,9999
226,-79.714706,172.555206,9999,9999
227,-79.718796,172.626404,9999,9999
228,-79.7229,172.701797,9999,9999
229,-79.727005,172.774506,9999,9999
230,-79.732407,172.855392,9999,9999
231,-79.736496,172.926605,9999,9999
232,-79.740601,172.997803,9999,9999
233,-79.744705,173.0746,9999,9999
234,-79.748795,173.160995,9999,9999
235,-79.754303,173.233597,9999,9999
236,-79.759796,173.314499,9999,9999
237,-79.763794,173.385803,9999,9999
238,-79.766602,173.458405,9999,9999
239,-79.772003,173.529694,9999,9999
240,-79.777496,173.6064,9999,9999
241,-79.783005,173.679001,9999,9999
242,-79.787094,173.755798,9999,9999
243,-79.791199,173.842194,9999,9999
244,-79.795303,173.914795,9999,9999
245,-79.799393,173.992905,9999,9999
246,-79.802094,174.070999,9999,9999
247,-79.806198,174.142303,9999,9999
248,-79.811707,174.220398,9999,9999
249,-79.814407,174.308105,9999,9999
250,-79.817093,174.391693,9999,9999
251,-79.819794,174.475296,9999,9999
252,-79.826706,174.5672,9999,9999
253,-79.828003,174.645401,9999,9999
254,-79.830795,174.728897,9999,9999
255,-79.836197,174.811203,9999,9999
256,-79.838898,174.890701,9999,9999
257,-79.844406,174.9729,9999,9999
258,-79.848495,175.056503,9999,9999
259,-79.849899,175.140198,9999,9999
260,-79.855301,175.229202,9999,9999
261,-79.856705,175.322495,9999,9999
262,-79.862198,175.411606,9999,9999
263,-79.866302,175.493805,9999,9999
264,-79.870407,175.582901,9999,9999
265,-79.873093,175.666504,9999,9999
266,-79.875793,175.754196,9999,9999
267,-79.881302,175.848801,9999,9999
268,-79.884003,175.937897,9999,9999
269,-79.888107,176.020203,9999,9999
270,-79.8936,176.1203,9999,9999
271,-79.897705,176.209305,9999,9999
272,-79.900406,176.292999,9999,9999
273,-79.903107,176.382004,9999,9999
274,-79.9086,176.471207,9999,9999
275,-79.9086,176.567093,9999,9999
276,-79.914001,176.650696,9999,9999
277,-79.915405,176.739807,9999,9999
278,-79.920898,176.824799,9999,9999
279,-79.922195,176.924896,9999,9999
280,-79.9263,177.013901,9999,9999
281,-79.930405,177.113998,9999,9999
282,-79.934494,177.197601,9999,9999
283,-79.935898,177.293503,9999,9999
284,-79.938599,177.388199,9999,9999
285,-79.942703,177.482697,9999,9999
286,-79.945404,177.578705,9999,9999
287,-79.949493,177.667801,9999,9999
288,-79.953598,177.773407,9999,9999
289,-79.955002,177.867905,9999,9999
290,-79.957703,177.952896,9999,9999
291,-79.961807,178.043396,9999,9999
292,-79.964493,178.128296,9999,9999
293,-79.9673,178.224304,9999,9999
294,-79.971298,178.314697,9999,9999
295,-79.975403,178.410706,9999,9999
296,-79.978104,178.498398,9999,9999
297,-79.9823,178.601196,9999,9999
298,-79.985001,178.691696,9999,9999
299,-79.989105,178.791702,9999,9999
300,-79.993195,178.882202,9999,9999
301,-79.995895,178.973999,9999,9999
302,-80.001404,179.074097,9999,9999
303,-80.004105,179.166,9999,9999
304,-80.009598,179.266006,9999,9999
305,-80.012299,179.362,9999,9999
306,-80.016403,179.468903,9999,9999
307,-80.019196,179.564804,9999,9999
308,-80.021896,179.660797,9999,9999
309,-80.024597,179.758102,9999,9999
310,-80.027405,179.854004,9999,9999
311,-80.034195,179.949997,9999,9999
312,-80.034195,-179.952698,9999,9999
313,-80.0383,-179.849899,9999,9999
314,-80.041,-179.753906,9999,9999
315,-80.043701,-179.647003,9999,9999
316,-80.046494,-179.545502,9999,9999
317,-80.049194,-179.448196,9999,9999
318,-80.049103,-179.345398,9999,9999
319,-80.053299,-179.255005,9999,9999
320,-80.056,-179.152206,9999,9999
321,-80.056,-179.050797,9999,9999
322,-80.058701,-178.9534,9999,9999
323,-80.061401,-178.856094,9999,9999
324,-80.062805,-178.749207,9999,9999
325,-80.065506,-178.646393,9999,9999
326,-80.065506,-178.554596,9999,9999
327,-80.068207,-178.453201,9999,9999
328,-80.069595,-178.355804,9999,9999
329,-80.070908,-178.258606,9999,9999
330,-80.072296,-178.155807,9999,9999
331,-80.074997,-178.058395,9999,9999
332,-80.074997,-177.955597,9999,9999
